latest_year,id,indicator,year,xaxis_display,value
0,CN,gov_debt_to_gdp_perc,2011,,0.33771999999999996
0,CO,gov_debt_to_gdp_perc,2011,,0.35784
0,KM,gov_debt_to_gdp_perc,2011,,0.27668
0,CG,gov_debt_to_gdp_perc,2011,,0.3439
0,CR,gov_debt_to_gdp_perc,2011,,0.29513
0,CI,gov_debt_to_gdp_perc,2011,,0.50028
0,HR,gov_debt_to_gdp_perc,2011,,0.63298
0,CY,gov_debt_to_gdp_perc,2011,,0.64806
0,CZ,gov_debt_to_gdp_perc,2011,,0.39722
0,CD,gov_debt_to_gdp_perc,2011,,0.2444
0,DK,gov_debt_to_gdp_perc,2011,,0.4607099999999999
0,DJ,gov_debt_to_gdp_perc,2011,,0.25682
0,DM,gov_debt_to_gdp_perc,2011,,0.6968099999999999
0,DO,gov_debt_to_gdp_perc,2011,,0.39053
0,EC,gov_debt_to_gdp_perc,2011,,0.18607
0,EG,gov_debt_to_gdp_perc,2011,,0.7283
0,SV,gov_debt_to_gdp_perc,2011,,0.65598
0,GQ,gov_debt_to_gdp_perc,2011,,0.0717
0,ER,gov_debt_to_gdp_perc,2011,,1.71569
0,EE,gov_debt_to_gdp_perc,2011,,0.0616
0,SZ,gov_debt_to_gdp_perc,2011,,0.14168
0,ET,gov_debt_to_gdp_perc,2011,,0.44565
0,FJ,gov_debt_to_gdp_perc,2011,,0.50977
0,FI,gov_debt_to_gdp_perc,2011,,0.51934
0,FR,gov_debt_to_gdp_perc,2011,,0.87837
0,GA,gov_debt_to_gdp_perc,2011,,0.21425
0,GM,gov_debt_to_gdp_perc,2011,,0.49241
0,GE,gov_debt_to_gdp_perc,2011,,0.27687
0,DE,gov_debt_to_gdp_perc,2011,,0.79417
0,GH,gov_debt_to_gdp_perc,2011,,0.31264
0,GR,gov_debt_to_gdp_perc,2011,,1.75219
0,GD,gov_debt_to_gdp_perc,2011,,1.02782
0,GT,gov_debt_to_gdp_perc,2011,,0.23769
0,GN,gov_debt_to_gdp_perc,2011,,0.58082
0,GW,gov_debt_to_gdp_perc,2011,,0.45619
0,GY,gov_debt_to_gdp_perc,2011,,0.51189
0,HT,gov_debt_to_gdp_perc,2011,,0.22293
0,HN,gov_debt_to_gdp_perc,2011,,0.24647
0,HU,gov_debt_to_gdp_perc,2011,,0.80338
0,IS,gov_debt_to_gdp_perc,2011,,1.38176
0,IN,gov_debt_to_gdp_perc,2011,,0.68648
0,ID,gov_debt_to_gdp_perc,2011,,0.23106
0,IR,gov_debt_to_gdp_perc,2011,,0.12259
