latest_year,id,indicator,year,xaxis_display,value
0,AZ,gov_debt_to_gdp_perc,2022,,0.17324
0,AZ,gov_debt_to_gdp_perc,2023,,0.21807000000000001
0,AZ,gov_debt_to_gdp_perc,2024,,0.2164
1,AZ,gov_debt_to_gdp_perc,2025,,0.20131
0,BI,gov_debt_to_gdp_perc,2010,,0.46912
0,BI,gov_debt_to_gdp_perc,2011,,0.4270600000000001
0,BI,gov_debt_to_gdp_perc,2012,,0.4143
0,BI,gov_debt_to_gdp_perc,2013,,0.37858
0,BI,gov_debt_to_gdp_perc,2014,,0.37971
0,BI,gov_debt_to_gdp_perc,2015,,0.39926
0,BI,gov_debt_to_gdp_perc,2016,,0.46119
0,BI,gov_debt_to_gdp_perc,2017,,0.46902
0,BI,gov_debt_to_gdp_perc,2018,,0.52971
0,BI,gov_debt_to_gdp_perc,2019,,0.60053
0,BI,gov_debt_to_gdp_perc,2020,,0.659
0,BI,gov_debt_to_gdp_perc,2021,,0.63597
0,BI,gov_debt_to_gdp_perc,2022,,0.69824
0,BI,gov_debt_to_gdp_perc,2023,,0.59895
0,BI,gov_debt_to_gdp_perc,2024,,0.53057
1,BI,gov_debt_to_gdp_perc,2025,,0.41186
0,BE,gov_debt_to_gdp_perc,2010,,1.00245
0,BE,gov_debt_to_gdp_perc,2011,,1.02735
0,BE,gov_debt_to_gdp_perc,2012,,1.04335
0,BE,gov_debt_to_gdp_perc,2013,,1.05032
0,BE,gov_debt_to_gdp_perc,2014,,1.06555
0,BE,gov_debt_to_gdp_perc,2015,,1.05572
0,BE,gov_debt_to_gdp_perc,2016,,1.05475
0,BE,gov_debt_to_gdp_perc,2017,,1.02485
0,BE,gov_debt_to_gdp_perc,2018,,1.00078
0,BE,gov_debt_to_gdp_perc,2019,,0.97573
0,BE,gov_debt_to_gdp_perc,2020,,1.11245
0,BE,gov_debt_to_gdp_perc,2021,,1.08541
0,BE,gov_debt_to_gdp_perc,2022,,1.0314
0,BE,gov_debt_to_gdp_perc,2023,,1.02191
0,BE,gov_debt_to_gdp_perc,2024,,1.0389
1,BE,gov_debt_to_gdp_perc,2025,,1.06333
0,BJ,gov_debt_to_gdp_perc,2010,,0.21
0,BJ,gov_debt_to_gdp_perc,2011,,0.2186
0,BJ,gov_debt_to_gdp_perc,2012,,0.1954
0,BJ,gov_debt_to_gdp_perc,2013,,0.18504
0,BJ,gov_debt_to_gdp_perc,2014,,0.22282
0,BJ,gov_debt_to_gdp_perc,2015,,0.309
0,BJ,gov_debt_to_gdp_perc,2016,,0.35923
0,BJ,gov_debt_to_gdp_perc,2017,,0.39384
0,BJ,gov_debt_to_gdp_perc,2018,,0.40828
0,BJ,gov_debt_to_gdp_perc,2019,,0.40375
0,BJ,gov_debt_to_gdp_perc,2020,,0.46142000000000005
0,BJ,gov_debt_to_gdp_perc,2021,,0.55567
0,BJ,gov_debt_to_gdp_perc,2022,,0.59735
0,BJ,gov_debt_to_gdp_perc,2023,,0.61324
0,BJ,gov_debt_to_gdp_perc,2024,,0.60527
1,BJ,gov_debt_to_gdp_perc,2025,,0.57272
0,BF,gov_debt_to_gdp_perc,2010,,0.23694
0,BF,gov_debt_to_gdp_perc,2011,,0.24504
0,BF,gov_debt_to_gdp_perc,2012,,0.25211
0,BF,gov_debt_to_gdp_perc,2013,,0.25901
0,BF,gov_debt_to_gdp_perc,2014,,0.26086
0,BF,gov_debt_to_gdp_perc,2015,,0.31251999999999996
0,BF,gov_debt_to_gdp_perc,2016,,0.32854
0,BF,gov_debt_to_gdp_perc,2017,,0.33885
0,BF,gov_debt_to_gdp_perc,2018,,0.38114
0,BF,gov_debt_to_gdp_perc,2019,,0.41734
0,BF,gov_debt_to_gdp_perc,2020,,0.43637
0,BF,gov_debt_to_gdp_perc,2021,,0.55479
0,BF,gov_debt_to_gdp_perc,2022,,0.59165
0,BF,gov_debt_to_gdp_perc,2023,,0.56818
0,BF,gov_debt_to_gdp_perc,2024,,0.57247
1,BF,gov_debt_to_gdp_perc,2025,,0.52027
0,BD,gov_debt_to_gdp_perc,2010,,0.29623
0,BD,gov_debt_to_gdp_perc,2011,,0.29393
0,BD,gov_debt_to_gdp_perc,2012,,0.29078
0,BD,gov_debt_to_gdp_perc,2013,,0.28344
0,BD,gov_debt_to_gdp_perc,2014,,0.28683
0,BD,gov_debt_to_gdp_perc,2015,,0.28206
0,BD,gov_debt_to_gdp_perc,2016,,0.2772
0,BD,gov_debt_to_gdp_perc,2017,,0.28306000000000003
0,BD,gov_debt_to_gdp_perc,2018,,0.29553
0,BD,gov_debt_to_gdp_perc,2019,,0.31951
0,BD,gov_debt_to_gdp_perc,2020,,0.34509
0,BD,gov_debt_to_gdp_perc,2021,,0.35613999999999996
0,BD,gov_debt_to_gdp_perc,2022,,0.37863
0,BD,gov_debt_to_gdp_perc,2023,,0.39726
0,BD,gov_debt_to_gdp_perc,2024,,0.40972
1,BD,gov_debt_to_gdp_perc,2025,,0.42033
0,BG,gov_debt_to_gdp_perc,2010,,0.14064
0,BG,gov_debt_to_gdp_perc,2011,,0.14335
0,BG,gov_debt_to_gdp_perc,2012,,0.16545
0,BG,gov_debt_to_gdp_perc,2013,,0.17165
0,BG,gov_debt_to_gdp_perc,2014,,0.26266
0,BG,gov_debt_to_gdp_perc,2015,,0.25359000000000004
0,BG,gov_debt_to_gdp_perc,2016,,0.27007000000000003
0,BG,gov_debt_to_gdp_perc,2017,,0.22919
0,BG,gov_debt_to_gdp_perc,2018,,0.20147
0,BG,gov_debt_to_gdp_perc,2019,,0.18416
0,BG,gov_debt_to_gdp_perc,2020,,0.22735
0,BG,gov_debt_to_gdp_perc,2021,,0.2385
0,BG,gov_debt_to_gdp_perc,2022,,0.22485
0,BG,gov_debt_to_gdp_perc,2023,,0.22931000000000001
0,BG,gov_debt_to_gdp_perc,2024,,0.2384
1,BG,gov_debt_to_gdp_perc,2025,,0.2709
0,BH,gov_debt_to_gdp_perc,2010,,0.28787
0,BH,gov_debt_to_gdp_perc,2011,,0.31554
0,BH,gov_debt_to_gdp_perc,2012,,0.34833
0,BH,gov_debt_to_gdp_perc,2013,,0.4227
0,BH,gov_debt_to_gdp_perc,2014,,0.4263
0,BH,gov_debt_to_gdp_perc,2015,,0.6318
0,BH,gov_debt_to_gdp_perc,2016,,0.77366
0,BH,gov_debt_to_gdp_perc,2017,,0.84029
0,BH,gov_debt_to_gdp_perc,2018,,0.90384
0,BH,gov_debt_to_gdp_perc,2019,,0.97129
0,BH,gov_debt_to_gdp_perc,2020,,1.257
0,BH,gov_debt_to_gdp_perc,2021,,1.223
0,BH,gov_debt_to_gdp_perc,2022,,1.11648
0,BH,gov_debt_to_gdp_perc,2023,,1.2302
0,BH,gov_debt_to_gdp_perc,2024,,1.33672
1,BH,gov_debt_to_gdp_perc,2025,,1.47613
0,BS,gov_debt_to_gdp_perc,2010,,0.33883
0,BS,gov_debt_to_gdp_perc,2011,,0.35262
0,BS,gov_debt_to_gdp_perc,2012,,0.37589
0,BS,gov_debt_to_gdp_perc,2013,,0.44248
0,BS,gov_debt_to_gdp_perc,2014,,0.47748
0,BS,gov_debt_to_gdp_perc,2015,,0.49941
0,BS,gov_debt_to_gdp_perc,2016,,0.51057
0,BS,gov_debt_to_gdp_perc,2017,,0.54649
0,BS,gov_debt_to_gdp_perc,2018,,0.61513
0,BS,gov_debt_to_gdp_perc,2019,,0.60314
0,BS,gov_debt_to_gdp_perc,2020,,0.71925
0,BS,gov_debt_to_gdp_perc,2021,,0.90662
0,BS,gov_debt_to_gdp_perc,2022,,0.8465600000000001
0,BS,gov_debt_to_gdp_perc,2023,,0.78291
0,BS,gov_debt_to_gdp_perc,2024,,0.7381300000000001
1,BS,gov_debt_to_gdp_perc,2025,,0.73803
0,BA,gov_debt_to_gdp_perc,2010,,0.42205
0,BA,gov_debt_to_gdp_perc,2011,,0.4094100000000001
0,BA,gov_debt_to_gdp_perc,2012,,0.43557
0,BA,gov_debt_to_gdp_perc,2013,,0.4375500000000001
0,BA,gov_debt_to_gdp_perc,2014,,0.4714
0,BA,gov_debt_to_gdp_perc,2015,,0.4637599999999999
0,BA,gov_debt_to_gdp_perc,2016,,0.44874000000000003
0,BA,gov_debt_to_gdp_perc,2017,,0.38616
0,BA,gov_debt_to_gdp_perc,2018,,0.34511000000000003
0,BA,gov_debt_to_gdp_perc,2019,,0.32781999999999994
0,BA,gov_debt_to_gdp_perc,2020,,0.37249
0,BA,gov_debt_to_gdp_perc,2021,,0.35752
0,BA,gov_debt_to_gdp_perc,2022,,0.31219
0,BA,gov_debt_to_gdp_perc,2023,,0.28984000000000004
0,BA,gov_debt_to_gdp_perc,2024,,0.29403
1,BA,gov_debt_to_gdp_perc,2025,,0.29932
0,BY,gov_debt_to_gdp_perc,2010,,0.36805
0,BY,gov_debt_to_gdp_perc,2011,,0.58223
0,BY,gov_debt_to_gdp_perc,2012,,0.36946
0,BY,gov_debt_to_gdp_perc,2013,,0.36859
0,BY,gov_debt_to_gdp_perc,2014,,0.38791
0,BY,gov_debt_to_gdp_perc,2015,,0.5300699999999999
0,BY,gov_debt_to_gdp_perc,2016,,0.53482
0,BY,gov_debt_to_gdp_perc,2017,,0.5316
0,BY,gov_debt_to_gdp_perc,2018,,0.47515
0,BY,gov_debt_to_gdp_perc,2019,,0.40999
0,BY,gov_debt_to_gdp_perc,2020,,0.47493
0,BY,gov_debt_to_gdp_perc,2021,,0.41182
0,BY,gov_debt_to_gdp_perc,2022,,0.40844
0,BY,gov_debt_to_gdp_perc,2023,,0.40724
0,BY,gov_debt_to_gdp_perc,2024,,0.38699
1,BY,gov_debt_to_gdp_perc,2025,,0.33061999999999997
0,BZ,gov_debt_to_gdp_perc,2010,,0.6841700000000001
0,BZ,gov_debt_to_gdp_perc,2011,,0.66219
0,BZ,gov_debt_to_gdp_perc,2012,,0.6313300000000001
0,BZ,gov_debt_to_gdp_perc,2013,,0.6278
0,BZ,gov_debt_to_gdp_perc,2014,,0.61544
0,BZ,gov_debt_to_gdp_perc,2015,,0.65077
0,BZ,gov_debt_to_gdp_perc,2016,,0.7045699999999999
0,BZ,gov_debt_to_gdp_perc,2017,,0.7811499999999999
0,BZ,gov_debt_to_gdp_perc,2018,,0.79023
